====== 소녀혁명 우테나 언젠가 혁명될 이야기 공략 ======
===== 우테나 루트 =====
^ 일자 ^ 선택지 ^ 한국어 번역 ^
| 22일 | 「ひどい、助けなくちゃ」 | 너무해, 돕지 않으면 |
| ::: | 「彼氏はいるの？」| 애인은 있어? |
| ::: | 「わたしもエンゲージしたい」| 나도 엔게이지 하고 싶어 |
| ::: | 「綺麗な目を誉める」| 아름다운 눈을 칭찬한다 |
| ::: | 「礼を言う」 | 감사인사를 한다 |
| ::: | 「注意を他に向けさせる」 | 주의를 다른 곳으로 돌린다 |
| ::: |「わたしが真犯人を捕まえる」| 내가 진 범인을 잡겠어 |
| ::: |「ウテナと一緒に寝る」| 우테나와 함께 잔다 |
^세이브1 (여기를 포인트로 동시에 여러명을 공략할 수 있다)|||
| 23일 |「ウテナ」| 우테나 |
| ::: |「冬芽」| 토우가 |
| ::: |「ウテナに話しかける」| 우테나에게 말을 건다 |
| ::: |「お父さん」| 아빠 |
| ::: |「ウテナ達と外で食べる」| 우테나 일행과 밖에서 먹는다 |
| ::: |「空腹で我慢する」| 공복을 참는다 |
| ::: |「α+18」| α+18 |
| ::: |「新聞部」| 신문부 |
| ::: |「文芸部」| 문예부 |
| ::: |「フェンシング部」| 펜싱부 |
| ::: |「樹璃と戦うことにする」| 쥬리와 싸우기로 한다 |
| ::: |「決闘する理由を聞く」| 결투하는 이유를 묻는다 |
| ::: |「病気について聞く」| 병에 대해서 묻는다 |
| ::: |「もう少し一緒にいる」| 좀 더 함께 있는다 |
| ::: |「いません」| 없어요 |
| ::: |「喫茶」| 카페 |
| ::: |「いないと答える」| 없다고 대답한다 |
| ::: | 「冬芽」| 토우가 |
| ::: |「決闘をやめるようにいう」| 결투를 그만두도록 말한다 |
| ::: |「ウテナ」| 우테나 |
| 24일 | 「スライディング」| 슬라이딩 |
| ::: |「ウテナ」| 우테나 |
| ::: |「ウテナ」| 우테나 |
| ::: |「ウテナ」| 우테나 |
| ::: |「ケーキを作ってもらう」| 케익을 만들어달라고 한다 |
| ::: |「ウテナ達とおしゃべり」| 우테나와 잡담하기 |
| ::: |「冬芽を探す」| 토우가를 찾는다 |
| ::: |「千種の話をする」| 치구사의 이야기를 한다 |
| ::: |「冬芽と一緒に行く」| 토우가와 함께 간다 |
| ::: |「デートだと言う」| 데이트라고 말한다 |
| ::: |「喫茶」| 카페 |
| ::: |「交番の一件を話す」| 코반의 일을 이야기한다 |
| ::: |「冬芽」| 토우가 |
| ::: |「そんな女じゃありません」|그런 여자가 아니에요 |
| ::: |「ウテナ」| 우테나 |
| 25일 |「冬芽」| 토우가 |
| ::: |「わたし、知りたいんです」| 저, 알고 싶어요 |
